chapter,sentence,char,word,word_num,tot_words,ch_num,value,sum_sent,wds_norm,sum_length_adj,sum_norm,ch_name
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",evertonette,competitive,28,662,1,3.300751879699248,8.25187969924812,0.04409448818897638,0.01246507507439293,0.0955655755703458,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",vandare,competitive,28,357,1,3.300751879699248,8.25187969924812,0.08459214501510574,0.023114508961479326,0.1772112353713415,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",rook,competitive,28,550,1,3.300751879699248,8.25187969924812,0.05894736842105263,0.015003417634996581,0.11502620186830713,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",dane,competitive,28,531,1,3.300751879699248,8.25187969924812,0.053231939163498096,0.01554026308709627,0.11914201700107141,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",evertonette,missed,34,662,1,-2,6.25187969924812,0.05354330708661417,0.009443927038139153,0.0724034406257335,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",vandare,missed,34,357,1,-2,6.25187969924812,0.1027190332326284,0.017512268065120785,0.1342607218325927,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",rook,missed,34,550,1,-2,6.25187969924812,0.07157894736842105,0.011367053998632944,0.08714741398951924,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",dane,missed,34,531,1,-2,6.25187969924812,0.06463878326996197,0.011773784744346741,0.09026568303999169,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",evertonette,war,35,662,1,-2,4.25187969924812,0.05511811023622047,0.006422779001885377,0.04924130568112123,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",vandare,war,35,357,1,-2,4.25187969924812,0.10574018126888217,0.01191002716876224,0.09131020829384384,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",rook,war,35,550,1,-2,4.25187969924812,0.07368421052631578,0.0077306903622693084,0.059268626110731366,Aardborg
Span notes 1 aardborg.txt,"late 998 - two years after signing of treaty of thronehold in the silver spigot: evertonette (brian) - med height humanoid, med brown hair - arcaneer, utilitarian dress, nice lute vandare (tom) - competitive, snobby, goth attitude rook (eby) - missed the war - half-elf, skinny dane (dan) - rook and vandare do a little dance-off while evertonette fills in for the lute player when his string breaks.",dane,war,35,531,1,-2,4.25187969924812,0.06653992395437262,0.008007306401597213,0.06138934907891196,Aardborg
Span notes 1 aardborg.txt,the group starts a fire between chibo and xotl and the remainder of the group.,xotl,fire,46,474,1,-2,1.300751879699248,0.10176991150442478,0.002744202277846515,0.021038884130156615,Aardborg
Span notes 1 aardborg.txt,"ev grants chibo a bardic inspiration but he doesn’t need it as he vaults over the flame, followed by xotl.",xotl,grants,54,474,1,1.650375939849624,2.951127819548872,0.11946902654867257,0.006226008058119983,0.047732728445586535,Aardborg
Span notes 1 aardborg.txt,"ev grants chibo a bardic inspiration but he doesn’t need it as he vaults over the flame, followed by xotl.",xotl,inspiration,58,474,1,3.300751879699248,6.2518796992481205,0.12831858407079647,0.013189619618666921,0.1011204170764464,Aardborg
Span notes 1 aardborg.txt,"dane takes some damage, but most of the crew gets through fine.",dane,damage,58,531,1,-3,1.25187969924812,0.11026615969581749,0.0023575888874729192,0.01807484813729238,Aardborg
Span notes 1 aardborg.txt,rook checks with chibo re: life or death situation (so he can attack).,rook,death,62,550,1,-2,2.25187969924812,0.13052631578947368,0.004094326725905673,0.031389838231943495,Aardborg
Span notes 1 aardborg.txt,"toby the goblin throwing shade at xotl - evertonette calms him down and sends him on his way. —— dropping in media res: pinned down on a bluff by a band of knolls, 25 or so, at the base of a hill, 500 feet from us; chibo and xotl fortified behind a large rock.",evertonette,calms,63,662,1,3.300751879699248,7.552631578947368,0.09921259842519685,0.01140880903164255,0.08746753590925956,Aardborg
Span notes 1 aardborg.txt,rook checks with chibo re: life or death situation (so he can attack).,chibo,death,64,608,1,-2,1.300751879699248,0.13704496788008566,0.0021393945389790265,0.016402024798839204,Aardborg
Span notes 1 aardborg.txt,"dane takes some damage, but most of the crew gets through fine.",dane,fine,66,531,1,3.300751879699248,4.552631578947368,0.12547528517110265,0.008573694122311428,0.06573165493772096,Aardborg
Span notes 1 aardborg.txt,rook checks with chibo re: life or death situation (so he can attack).,rook,attack,67,550,1,-1,1.25187969924812,0.14105263157894737,0.0022761449077238548,0.017450444292549553,Aardborg
Span notes 1 aardborg.txt,rook checks with chibo re: life or death situation (so he can attack).,chibo,attack,69,608,1,-1,0.3007518796992481,0.14775160599571735,4.946576968737634e-4,0.0037923756760321857,Aardborg
Span notes 1 aardborg.txt,vandare is disappointed with the “good wine” but chibo makes some picklebacks and share with xotl.,vandare,disappointed,70,357,1,-2,2.25187969924812,0.21148036253776434,0.006307786272403698,0.048359694755095016,Aardborg
Span notes 1 aardborg.txt,dane and chibo join a dice game in the hold and get some history on the ship.,dane,join,70,531,1,1.650375939849624,6.203007518796992,0.13307984790874525,0.011681746739730683,0.08956005833793523,Aardborg
Span notes 1 aardborg.txt,the group starts a fire between chibo and xotl and the remainder of the group.,chibo,fire,78,608,1,-2,-1.699248120300752,0.1670235546038544,-0.002794815987336763,-0.02142692256958185,Aardborg
Span notes 1 aardborg.txt,vandare is disappointed with the “good wine” but chibo makes some picklebacks and share with xotl.,vandare,share,81,357,1,1.650375939849624,3.902255639097744,0.24471299093655588,0.010930688064699563,0.08380194182936332,Aardborg
Span notes 1 aardborg.txt,xotl stands over a downed knoll and is about to stab him.,xotl,stab,82,474,1,-2,4.2518796992481205,0.18141592920353983,0.008970210335966499,0.06877161257574316,Aardborg
Span notes 1 aardborg.txt,"ev grants chibo a bardic inspiration but he doesn’t need it as he vaults over the flame, followed by xotl.",chibo,grants,86,608,1,1.650375939849624,-0.048872180451127845,0.1841541755888651,-8.038187574198659e-5,-6.162610473552305e-4,Aardborg
Span notes 1 aardborg.txt,"ev grants chibo a bardic inspiration but he doesn’t need it as he vaults over the flame, followed by xotl.",chibo,inspiration,90,608,1,3.300751879699248,3.2518796992481205,0.19271948608137046,0.005348486347447567,0.04100506199709801,Aardborg
Span notes 1 aardborg.txt,"dane senses that the crew is trying to humor us and make a good impression, as if they’ve been hand picked to keep us happy.",dane,humor,90,531,1,3.300751879699248,9.503759398496241,0.17110266159695817,0.017897851974569192,0.13721686513836381,Aardborg
Span notes 1 aardborg.txt,"with everyone getting on him, xotl decides sheepishly to not stab the unconscious critter.",xotl,stab,94,474,1,-2,2.2518796992481205,0.2079646017699115,0.004750801053266077,0.03642280807503993,Aardborg
Span notes 1 aardborg.txt,"rook checks out a billboard for any theater shows coming to town, but the entertainment options are relatively limited - most are private audiences and upscale events.",rook,limited,100,550,1,-1,0.25187969924812004,0.21052631578947367,4.579630895420364e-4,0.0035110503531556128,Aardborg
Span notes 1 aardborg.txt,"ev grants chibo a bardic inspiration but he doesn’t need it as he vaults over the flame, followed by xotl.",evertonette,grants,102,662,1,1.650375939849624,9.203007518796992,0.16062992125984252,0.013901824046521136,0.10658065102332871,Aardborg
Span notes 1 aardborg.txt,"we banter a bit, people scold xotl a little.",xotl,scold,103,474,1,-2,0.25187969924812026,0.22787610619469026,5.313917705656546e-4,0.0040740035743366855,Aardborg
Span notes 1 aardborg.txt,"dane senses that the crew is trying to humor us and make a good impression, as if they’ve been hand picked to keep us happy.",dane,happy,104,531,1,4.951127819548872,14.454887218045112,0.19771863117870722,0.027222009826826953,0.20870207533900664,Aardborg
Span notes 1 aardborg.txt,"ev grants chibo a bardic inspiration but he doesn’t need it as he vaults over the flame, followed by xotl.",evertonette,inspiration,106,662,1,3.300751879699248,12.503759398496241,0.16692913385826771,0.01888785407627831,0.14480688125146704,Aardborg
Span notes 1 aardborg.txt,vandare is disappointed with the “good wine” but chibo makes some picklebacks and share with xotl.,chibo,disappointed,106,608,1,-2,1.2518796992481203,0.22698072805139186,0.0020590126632370398,0.015785763751483974,Aardborg
Span notes 1 aardborg.txt,"ev hands the spyglass to vandare, while she goes to alert elder arlen.",vandare,alert,113,357,1,-1,2.902255639097744,0.3413897280966767,0.00812956761652029,0.062326685059988896,Aardborg
Span notes 1 aardborg.txt,"dane notices one person who seems a little more aggressive in keeping focus on the game, gion.",dane,aggressive,114,531,1,-2,12.454887218045112,0.21673003802281368,0.023455531484077422,0.1798257413779269,Aardborg
Span notes 1 aardborg.txt,vandare is disappointed with the “good wine” but chibo makes some picklebacks and share with xotl.,chibo,share,117,608,1,1.650375939849624,2.9022556390977443,0.2505353319057816,0.0047734467748318165,0.0365964252737106,Aardborg
Span notes 1 aardborg.txt,dane and chibo join a dice game in the hold and get some history on the ship.,chibo,join,122,608,1,1.650375939849624,4.552631578947368,0.26124197002141325,0.007487880886426592,0.05740708679593721,Aardborg
Span notes 1 aardborg.txt,"elder arlen says “please keep my people safe” while eyeing the rays of frost from xotl… vandare counts two dozen gulls clearly - large gulls, with a claw on each wingtip.",vandare,safe,123,357,1,1.650375939849624,4.552631578947368,0.3716012084592145,0.012752469408816157,0.0977689321342572,Aardborg
Span notes 1 aardborg.txt,akbar tells him he’s got the travel expenses covered and sent over to the cartographer… he clearly doesn’t trust xotl.,xotl,trust,130,474,1,1.650375939849624,1.9022556390977443,0.28761061946902655,0.004013197550839123,0.030767847889766612,Aardborg
Span notes 1 aardborg.txt,"ducking between some crates, he overhears a little grumbling from the crew - dissatisfied employees - sounds like the captain has pulled back on the ration of rum for the crew, because he wants to make a good impression on rook.",rook,dissatisfied,136,550,1,-2,-1.74812030075188,0.2863157894736842,-0.0031784005468215998,-0.024367737525632267,Aardborg
Span notes 1 aardborg.txt,"chibo prompts for stories of odd sea happenings, and hears of a nation beneath the waves, a shark-like people that pray to a goddess who seek the blood of surface dwelling folk.",chibo,odd,139,608,1,-2,2.552631578947368,0.29764453961456105,0.004198407202216066,0.03218778855032318,Aardborg
Span notes 1 aardborg.txt,dane tries to warm up the table a little.,dane,warm,142,531,1,1.650375939849624,14.105263157894736,0.26996197718631176,0.026563584101496677,0.2036541447781412,Aardborg
Span notes 1 aardborg.txt,"ev talks to reya (pilot, dragon mark of storm) about the crew being disgruntled - a few officers displeased at having quarters commandeered to accommodate so many passengers.",evertonette,displeased,149,662,1,-2,10.503759398496241,0.2346456692913386,0.015866706040024534,0.12164474630685476,Aardborg
Span notes 1 aardborg.txt,"chibo prompts for stories of odd sea happenings, and hears of a nation beneath the waves, a shark-like people that pray to a goddess who seek the blood of surface dwelling folk.",chibo,pray,153,608,1,1.650375939849624,4.203007518796992,0.32762312633832974,0.006912841313810843,0.052998450072549795,Aardborg
Span notes 1 aardborg.txt,he groans and opens a lockbox and pulls out a purse - hands it over and tells xotl he’ll send more to the next bank (rockpoint) - xotl is excited to be holding more than he’s ever held before.,xotl,excited,155,474,1,4.951127819548872,6.853383458646617,0.34292035398230086,0.014458614891659529,0.11084938083605639,Aardborg
Span notes 1 aardborg.txt,as the bird moves past ev and vandare they get opportunity attacks.,vandare,opportunity,155,357,1,3.300751879699248,7.853383458646617,0.46827794561933533,0.02199827299340789,0.16865342628279384,Aardborg
Span notes 1 aardborg.txt,offended that the captain thinks they’d embarrass him in front of rook.,rook,offended,156,550,1,-2,-3.74812030075188,0.32842105263157895,-0.006814764183185236,-0.052246525404420145,Aardborg
Span notes 1 aardborg.txt,as the bird moves past ev and vandare they get opportunity attacks.,vandare,attacks,156,357,1,-1,6.853383458646617,0.47129909365558914,0.019197152545228618,0.14717816951341942,Aardborg
Span notes 1 aardborg.txt,offended that the captain thinks they’d embarrass him in front of rook.,rook,embarrass,162,550,1,-2,-5.74812030075188,0.3410526315789474,-0.010451127819548874,-0.08012531328320804,Aardborg
Span notes 1 aardborg.txt,"vandare hits the other as it tries to escape, but doesn’t kill it.",vandare,escape,165,357,1,-1,5.853383458646617,0.4984894259818731,0.016396032097049346,0.125702912744045,Aardborg
Span notes 1 aardborg.txt,"vandare hits the other as it tries to escape, but doesn’t kill it.",vandare,kill,168,357,1,-3,2.8533834586466162,0.5075528700906344,0.00799267075251153,0.061277142435921736,Aardborg
Span notes 1 aardborg.txt,vandare is disappointed with the “good wine” but chibo makes some picklebacks and share with xotl.,xotl,disappointed,179,474,1,-2,4.853383458646617,0.39601769911504425,0.010239205608959107,0.07850057633535315,Aardborg
Span notes 1 aardborg.txt,vandare clips one with an arrow but it survives and attacks.,vandare,attacks,179,357,1,-1,1.8533834586466162,0.540785498489426,0.005191550304332259,0.03980188566654732,Aardborg
Span notes 1 aardborg.txt,"something about rook is rubbing her the wrong way about him, and doesn’t like how chummy he is with the captain - she finds it offputting our prank is caught by rook, we have a good laugh, and while that’s happening i notice a light off in the distance that appears to be magical ghostly light coming toward us.",rook,wrong,186,550,1,-2,-7.74812030075188,0.391578947368421,-0.01408749145591251,-0.10800410116199591,Aardborg
Span notes 1 aardborg.txt,she nails the code (nat 20) and chibo deciphers a series of response flashes for a “stand down” message (another nat 20 courtesy of advantage).,chibo,courtesy,189,608,1,3.300751879699248,7.503759398496241,0.40471092077087795,0.012341709537000397,0.09461977311700304,Aardborg
Span notes 1 aardborg.txt,vandare is disappointed with the “good wine” but chibo makes some picklebacks and share with xotl.,xotl,share,190,474,1,1.650375939849624,6.50375939849624,0.42035398230088494,0.013721011389232573,0.10519442065078306,Aardborg
Span notes 1 aardborg.txt,she nails the code (nat 20) and chibo deciphers a series of response flashes for a “stand down” message (another nat 20 courtesy of advantage).,chibo,advantage,190,608,1,3.300751879699248,10.804511278195488,0.4068522483940043,0.01777057776018995,0.13624109616145627,Aardborg
Span notes 1 aardborg.txt,after a few moments it flashes back what chibo is pretty sure is a “acknowledged” sign.,chibo,pretty,201,608,1,1.650375939849624,12.454887218045112,0.430406852248394,0.020485011871784725,0.1570517576836829,Aardborg
Span notes 1 aardborg.txt,"something about rook is rubbing her the wrong way about him, and doesn’t like how chummy he is with the captain - she finds it offputting our prank is caught by rook, we have a good laugh, and while that’s happening i notice a light off in the distance that appears to be magical ghostly light coming toward us.",rook,laugh,209,550,1,1.650375939849624,-6.097744360902256,0.44,-0.011086807928913193,-0.08499886078833449,Aardborg
Span notes 1 aardborg.txt,"dane plies his diplomatic feat, and charms him and wins him over.",dane,wins,223,531,1,6.601503759398496,20.706766917293233,0.42395437262357416,0.0389957945711737,0.29896775837899836,Aardborg
Span notes 1 aardborg.txt,"as we’re coming down the gangplank, rook stealthily casts gust of wind and knocks chibo into the water; he flounders and fakes not being able to swim, but then swims back to shore and bows to rook with a “well played, sir.”",chibo,fakes,238,608,1,-3,9.454887218045112,0.5096359743040685,0.015550801345468934,0.11922281031526183,Aardborg
Span notes 1 aardborg.txt,vandare takes a hit and collapses to the desk.,vandare,collapses,240,357,1,-2,-0.14661654135338376,0.7250755287009063,-4.1069059202628505e-4,-0.0031486278722015187,Aardborg
Span notes 1 aardborg.txt,"rook goes to assist her, but she bristles, and rook assures her he’s not taking over - she gets advantage.",rook,advantage,243,550,1,3.300751879699248,-2.7969924812030076,0.511578947368421,-0.005085440874914559,-0.03898838004101162,Aardborg
Span notes 1 aardborg.txt,"as we’re coming down the gangplank, rook stealthily casts gust of wind and knocks chibo into the water; he flounders and fakes not being able to swim, but then swims back to shore and bows to rook with a “well played, sir.”",rook,fakes,263,550,1,-3,-5.796992481203008,0.5536842105263158,-0.010539986329460014,-0.08080656185919345,Aardborg
Span notes 1 aardborg.txt,"mission accomplished! -1 xotl back to ev: arlen’s son suggests savid, who lives in the largest house in town - was a fairly successful captain and may still have a spyglass.",evertonette,accomplished,263,662,1,3.300751879699248,13.804511278195488,0.4141732283464567,0.020852736069781705,0.15987097653499308,Aardborg
Span notes 1 aardborg.txt,vandare notes a figure disappear ducking behind the railing of the lighthouse.,vandare,disappear,264,357,1,-1,-1.1466165413533838,0.797583081570997,-0.003211811040205557,-0.024623884641575937,Aardborg
Span notes 1 aardborg.txt,"he says it’s just nervous about our safety, but still seems to be avoiding talking about something… chibo passes around the rotgut, dane fails to persuade, but gion mentions “magic fish” - these fishwives tales about people who catch magic fish.",dane,nervous,270,531,1,-2,18.706766917293233,0.5133079847908745,0.035229316228424165,0.2700914244179186,Aardborg
Span notes 1 aardborg.txt,"he says it’s just nervous about our safety, but still seems to be avoiding talking about something… chibo passes around the rotgut, dane fails to persuade, but gion mentions “magic fish” - these fishwives tales about people who catch magic fish.",dane,safety,273,531,1,1.650375939849624,20.357142857142858,0.5190114068441065,0.03833736884584342,0.2939198278181329,Aardborg
Span notes 1 aardborg.txt,"mission accomplished! -1 xotl back to ev: arlen’s son suggests savid, who lives in the largest house in town - was a fairly successful captain and may still have a spyglass.",evertonette,successful,283,662,1,4.951127819548872,18.75563909774436,0.4456692913385827,0.028331781114417462,0.21721032187720055,Aardborg
Span notes 1 aardborg.txt,vandare busts through the door with brute strength.,vandare,strength,287,357,1,3.300751879699248,2.1541353383458643,0.8670694864048338,0.006033992544386174,0.04626060950696067,Aardborg
Span notes 1 aardborg.txt,"he says it’s just nervous about our safety, but still seems to be avoiding talking about something… chibo passes around the rotgut, dane fails to persuade, but gion mentions “magic fish” - these fishwives tales about people who catch magic fish.",dane,fails,288,531,1,-2,18.357142857142858,0.5475285171102662,0.03457089050309389,0.26504349385705317,Aardborg
Span notes 1 aardborg.txt,"mission accomplished! -1 xotl back to ev: arlen’s son suggests savid, who lives in the largest house in town - was a fairly successful captain and may still have a spyglass.",xotl,accomplished,291,474,1,3.300751879699248,9.804511278195488,0.6438053097345132,0.02068462294977951,0.15858210928164293,Aardborg
Span notes 1 aardborg.txt,chibo fails to help.,chibo,fails,291,608,1,-2,7.454887218045113,0.6231263383297645,0.01226132766125841,0.09400351206964781,Aardborg
Span notes 1 aardborg.txt,vandare grapples the man to keep him from escaping.,vandare,escaping,296,357,1,-1,1.1541353383458643,0.8942598187311178,0.003232872096206903,0.024785352737586256,Aardborg
Span notes 1 aardborg.txt,"he says it’s just nervous about our safety, but still seems to be avoiding talking about something… chibo passes around the rotgut, dane fails to persuade, but gion mentions “magic fish” - these fishwives tales about people who catch magic fish.",chibo,nervous,298,608,1,-2,5.454887218045113,0.6381156316916489,0.008971853977047884,0.06878421382403378,Aardborg
Span notes 1 aardborg.txt,rook asks if anything else odd happen around the same time?,rook,odd,299,550,1,-2,-7.796992481203008,0.6294736842105263,-0.01417634996582365,-0.10868534973798132,Aardborg
Span notes 1 aardborg.txt,"he says it’s just nervous about our safety, but still seems to be avoiding talking about something… chibo passes around the rotgut, dane fails to persuade, but gion mentions “magic fish” - these fishwives tales about people who catch magic fish.",chibo,safety,301,608,1,1.650375939849624,7.105263157894736,0.6445396145610278,0.011686288088642659,0.08959487534626039,Aardborg
Span notes 1 aardborg.txt,the dragon gull grabs the man and flies away; vandare gets in an opportunity attack against the man but misses.,vandare,opportunity,309,357,1,3.300751879699248,4.454887218045112,0.9335347432024169,0.012478675680798633,0.09566984688612286,Aardborg
Span notes 1 aardborg.txt,the dragon gull grabs the man and flies away; vandare gets in an opportunity attack against the man but misses.,vandare,attack,310,357,1,-1,3.4548872180451125,0.9365558912386707,0.009677555232619362,0.07419459011674845,Aardborg
Span notes 1 aardborg.txt,"mission accomplished! -1 xotl back to ev: arlen’s son suggests savid, who lives in the largest house in town - was a fairly successful captain and may still have a spyglass.",xotl,successful,311,474,1,4.951127819548872,14.75563909774436,0.6880530973451328,0.031130040290599917,0.2386636422279327,Aardborg
Span notes 1 aardborg.txt,"politely ev describes the request, savid goes to look for it - finds a worn but decent quality spyglass.",evertonette,worn,316,662,1,-1,17.75563909774436,0.49763779527559054,0.026821207096290576,0.2056292544048944,Aardborg
Span notes 1 aardborg.txt,"he says it’s just nervous about our safety, but still seems to be avoiding talking about something… chibo passes around the rotgut, dane fails to persuade, but gion mentions “magic fish” - these fishwives tales about people who catch magic fish.",chibo,fails,316,608,1,-2,5.105263157894736,0.6766595289079229,0.008396814404432133,0.06437557710064636,Aardborg
Span notes 1 aardborg.txt,vandare distracts the giant gull.,vandare,distracts,324,357,1,-2,1.4548872180451125,0.9788519637462235,0.0040753143362608196,0.031244076577999616,Aardborg
